Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
4.479,21.947,158,106,55462,351.025,139.062,369.500,67,601,187.462,76.437,13.310,0.946,0.183,0.954,187.688,76.989,13.183,183,73,11,10,9,5
178.917,308.936,6311,2267,513,0.081,0.315,0.000,0,3,796.332,240.987,17.318,3.672,1.256,3.449,798.314,247.803,18.721,774,220,11,48,43,12
333.339,637.648,11758,3162,2480,0.211,0.620,0.000,0,9,1035.221,305.942,20.617,5.514,1.953,5.570,1031.942,304.579,18.507,1000,278,11,67,54,21
18.087,57.305,638,295,25967,40.701,30.467,32.000,2,133,385.788,336.660,15.810,1.658,0.414,1.646,385.911,338.107,15.340,380,330,11,13,13,10
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,1163.000,357.000,11.000,0.000,0.000,0.000,NaN,NaN,NaN,1163,357,11,1,1,1
0.992,7.970,35,29,0,0.000,0.000,0.000,0,0,1412.029,369.857,12.543,0.586,0.201,0.537,NaN,NaN,NaN,1411,368,11,3,5,4
2.070,12.562,73,54,0,0.000,0.000,0.000,0,0,1454.479,381.644,12.808,0.720,0.160,0.708,NaN,NaN,NaN,1451,379,11,7,6,4
0.907,6.811,32,30,0,0.000,0.000,0.000,0,0,1450.969,386.250,12.344,0.505,0.143,0.478,NaN,NaN,NaN,1449,384,11,4,5,3
1.446,9.837,51,41,0,0.000,0.000,0.000,0,0,1438.059,388.157,12.216,0.622,0.142,0.620,NaN,NaN,NaN,1436,386,11,5,5,4
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,718.000,613.000,11.000,0.000,0.000,0.000,NaN,NaN,NaN,718,613,11,1,1,1
9.157,36.013,323,170,0,0.000,0.000,0.000,0,0,638.966,635.991,15.437,1.367,0.415,1.291,NaN,NaN,NaN,634,632,11,10,8,9
45.672,120.544,1611,675,41,0.025,0.158,0.000,0,1,1379.884,806.720,17.356,2.520,0.872,2.551,1378.195,806.854,17.756,1368,794,11,23,26,13
6.095,29.160,215,132,0,0.000,0.000,0.000,0,0,1466.967,798.921,13.423,1.094,0.259,1.053,NaN,NaN,NaN,1462,795,11,10,11,6
46.579,103.708,1643,682,613,0.373,0.745,0.000,0,5,687.014,9.080,17.005,2.130,0.438,2.157,683.436,10.039,16.912,674,3,12,26,15,10
0.482,4.894,17,15,5,0.294,0.470,0.000,0,1,1115.529,95.647,13.118,0.417,0.139,0.379,1115.000,95.200,13.600,1114,94,12,4,4,3
64.780,162.818,2285,1020,184,0.081,0.314,0.000,0,3,588.204,173.923,16.530,2.477,0.650,2.378,589.696,171.489,16.462,575,159,12,28,27,10
306.860,535.318,10824,3907,511,0.047,0.253,0.000,0,4,600.262,228.257,17.798,4.848,2.067,4.624,599.818,225.397,18.366,570,195,12,53,71,12
11.709,40.624,413,242,0,0.000,0.000,0.000,0,0,1329.417,232.668,14.002,1.356,0.332,1.313,NaN,NaN,NaN,1321,229,12,18,9,5
0.737,6.307,26,22,0,0.000,0.000,0.000,0,0,1446.846,382.423,12.885,0.487,0.117,0.502,NaN,NaN,NaN,1445,381,12,5,4,3
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,1426.000,389.000,12.000,0.000,0.000,0.000,NaN,NaN,NaN,1426,389,12,1,1,1
0.028,0.605,1,1,0,0.000,0.000,0.000,0,0,1396.000,412.000,12.000,0.000,0.000,0.000,NaN,NaN,NaN,1396,412,12,1,1,1
0.595,5.096,21,21,0,0.000,0.000,0.000,0,0,1404.619,417.476,12.619,0.404,0.088,0.404,NaN,NaN,NaN,1403,416,12,4,5,2
0.765,6.559,27,23,0,0.000,0.000,0.000,0,0,1377.593,418.889,12.852,0.507,0.146,0.534,NaN,NaN,NaN,1375,418,12,6,3,3
25.317,93.164,893,544,9,0.010,0.100,0.000,0,1,1417.129,432.011,14.901,1.792,0.591,1.804,1414.000,435.000,17.000,1406,422,12,24,19,7
